,accuracy,epochs,batch,lag,num_flows,n_neurons,lr
0,0.7102766423357664,500,256,True,16,64,0.0004
1,0.7061521897810219,500,256,True,16,64,4e-05
2,0.5987182481751825,500,256,True,16,64,4e-06
3,0.76700200729927,500,256,True,32,64,0.0004
4,0.7509025547445255,500,256,True,32,64,4e-05
5,0.5929085766423358,500,256,True,32,64,4e-06
6,0.7628182481751825,500,256,False,16,64,0.0004
7,0.6412686131386861,500,256,False,16,64,4e-05
8,0.5469286496350365,500,256,False,16,64,4e-06
9,0.7908474452554745,500,256,False,32,64,0.0004
10,0.7312781021897811,500,256,False,32,64,4e-05
11,0.573901094890511,500,256,False,32,64,4e-06
12,0.6964443430656935,500,512,True,16,64,0.0004
13,0.7087605839416058,500,512,True,16,64,4e-05
14,0.5904224452554745,500,512,True,16,64,4e-06
15,0.7602439781021898,500,512,True,32,64,0.0004
16,0.7526773722627738,500,512,True,32,64,4e-05
17,0.5925680656934307,500,512,True,32,64,4e-06
18,0.7666536496350365,500,512,False,16,64,0.0004
19,0.6426715328467153,500,512,False,16,64,4e-05
20,0.542473905109489,500,512,False,16,64,4e-06
21,0.7957861313868613,500,512,False,32,64,0.0004
22,0.7529310218978102,500,512,False,32,64,4e-05
23,0.5736204379562044,500,512,False,32,64,4e-06
24,0.7038401459854015,500,1024,True,16,64,0.0004
25,0.7169733576642335,500,1024,True,16,64,4e-05
26,0.5867748175182482,500,1024,True,16,64,4e-06
27,0.735235401459854,500,1024,True,32,64,0.0004
28,0.7477532846715328,500,1024,True,32,64,4e-05
29,0.5960633211678832,500,1024,True,32,64,4e-06
30,0.770801094890511,500,1024,False,16,64,0.0004
31,0.6500465328467153,500,1024,False,16,64,4e-05
32,0.5440034671532846,500,1024,False,16,64,4e-06
33,0.7969222627737226,500,1024,False,32,64,0.0004
34,0.7667883211678832,500,1024,False,32,64,4e-05
35,0.5839706204379562,500,1024,False,32,64,4e-06
36,0.7074921532846715,1000,256,True,16,64,0.0004
37,0.6912001824817519,1000,256,True,16,64,4e-05
38,0.6119213503649635,1000,256,True,16,64,4e-06
39,0.7703467153284671,1000,256,True,32,64,0.0004
40,0.7440817518248175,1000,256,True,32,64,4e-05
41,0.6480339416058394,1000,256,True,32,64,4e-06
42,0.7745018248175183,1000,256,False,16,64,0.0004
43,0.6961260948905109,1000,256,False,16,64,4e-05
44,0.5869284671532846,1000,256,False,16,64,4e-06
45,0.7990286496350365,1000,256,False,32,64,0.0004
46,0.7781790145985401,1000,256,False,32,64,4e-05
47,0.6045835766423358,1000,256,False,32,64,4e-06
48,0.6596932481751825,1000,512,True,16,64,0.0004
49,0.6807412408759124,1000,512,True,16,64,4e-05
50,0.610847810218978,1000,512,True,16,64,4e-06
51,0.773492700729927,1000,512,True,32,64,0.0004
52,0.746219890510949,1000,512,True,32,64,4e-05
53,0.6511286496350365,1000,512,True,32,64,4e-06
54,0.776910401459854,1000,512,False,16,64,0.0004
55,0.738978102189781,1000,512,False,16,64,4e-05
56,0.5705386861313868,1000,512,False,16,64,4e-06
57,0.8034983576642336,1000,512,False,32,64,0.0004
58,0.7794558394160584,1000,512,False,32,64,4e-05
59,0.6105251824817518,1000,512,False,32,64,4e-06
60,0.6813531021897811,1000,1024,True,16,64,0.0004
61,0.6929321167883211,1000,1024,True,16,64,4e-05
62,0.6092063868613139,1000,1024,True,16,64,4e-06
63,0.7685448905109489,1000,1024,True,32,64,0.0004
64,0.746936496350365,1000,1024,True,32,64,4e-05
65,0.6526622262773722,1000,1024,True,32,64,4e-06
66,0.77829799270073,1000,1024,False,16,64,0.0004
67,0.7443859489051095,1000,1024,False,16,64,4e-05
68,0.5760945255474452,1000,1024,False,16,64,4e-06
69,0.8013773722627737,1000,1024,False,32,64,0.0004
70,0.7845040145985401,1000,1024,False,32,64,4e-05
71,0.6066678832116789,1000,1024,False,32,64,4e-06
72,0.6926040145985402,2500,256,True,16,64,0.0004
73,0.682968795620438,2500,256,True,16,64,4e-05
74,0.6630060218978102,2500,256,True,16,64,4e-06
75,0.779545802919708,2500,256,True,32,64,0.0004
76,0.7624138686131386,2500,256,True,32,64,4e-05
77,0.7181817518248175,2500,256,True,32,64,4e-06
78,0.7878622262773722,2500,256,False,16,64,0.0004
79,0.759025,2500,256,False,16,64,4e-05
80,0.6392795620437957,2500,256,False,16,64,4e-06
81,0.8005638686131387,2500,256,False,32,64,0.0004
82,0.7947065693430657,2500,256,False,32,64,4e-05
83,0.6561713503649635,2500,256,False,32,64,4e-06
84,0.6830461678832117,2500,512,True,16,64,0.0004
85,0.6746233576642335,2500,512,True,16,64,4e-05
86,0.6640695255474452,2500,512,True,16,64,4e-06
87,0.7798226277372263,2500,512,True,32,64,0.0004
88,0.7618994525547446,2500,512,True,32,64,4e-05
89,0.7125655109489051,2500,512,True,32,64,4e-06
90,0.7903954379562044,2500,512,False,16,64,0.0004
91,0.7683248175182482,2500,512,False,16,64,4e-05
92,0.6393755474452555,2500,512,False,16,64,4e-06
93,0.7996182481751825,2500,512,False,32,64,0.0004
94,0.7981089416058395,2500,512,False,32,64,4e-05
95,0.6718824817518249,2500,512,False,32,64,4e-06
96,0.7257879562043795,2500,1024,True,16,64,0.0004
97,0.6726067518248176,2500,1024,True,16,64,4e-05
98,0.6653945255474453,2500,1024,True,16,64,4e-06
99,0.7722722627737226,2500,1024,True,32,64,0.0004
100,0.7527857664233577,2500,1024,True,32,64,4e-05
101,0.7193268248175182,2500,1024,True,32,64,4e-06
102,0.7935773722627737,2500,1024,False,16,64,0.0004
103,0.7704430656934307,2500,1024,False,16,64,4e-05
104,0.6416806569343065,2500,1024,False,16,64,4e-06
105,0.8025647810218978,2500,1024,False,32,64,0.0004
106,0.8000118613138686,2500,1024,False,32,64,4e-05
107,0.6829916058394161,2500,1024,False,32,64,4e-06
